# Viterbi_decoding posterior_decoding posterior_mean
1.75 0.32 0.7726452261860542
1.75 0.32 0.7725497093529698
1.75 0.32 0.7724546500574565
1.75 0.32 0.7723600470397736
1.75 0.32 0.7722658990466685
1.75 0.32 0.77217220483103
1.75 0.32 0.7720789631524455
1.75 0.32 0.7719861727773533
1.75 0.32 0.7718938324780815
1.75 0.32 0.7718019410335126
1.75 0.32 0.7717104972288213
1.75 0.32 0.7716194998554019
1.75 0.32 0.7715289477107617
1.75 0.32 0.7714388395989378
1.75 0.32 0.7713491743302155
1.75 0.32 0.7712599507204975
1.75 0.32 0.7711711675921616
1.75 0.32 0.7710828237735495
1.75 0.32 0.7709949180993317
1.75 0.32 0.77090744941002
1.75 0.32 0.770820416551559
1.75 0.32 0.7707338183766725
1.75 0.32 0.770647653743248
1.75 0.32 0.770561921515586
1.75 0.32 0.7704766205633303
1.75 0.32 0.7703917497625605
1.75 0.32 0.7703073079946149
1.75 0.32 0.7702232941465067
1.75 0.32 0.7701397071111444
1.75 0.32 0.7700565457874254
1.75 0.32 0.7699738090792765
1.75 0.32 0.7698914958966929
1.75 0.32 0.7698096051547957
1.75 0.32 0.769728135774757
1.75 0.32 0.7696470866829008
1.75 0.32 0.7695664568110789
1.75 0.32 0.7694862450967253
1.75 0.32 0.7694064504825004
1.75 0.32 0.7693270719167181
1.75 0.32 0.7692481083529936
1.75 0.32 0.7691695587498021
1.75 0.32 0.7690914220718186
1.75 0.32 0.7690136972881071
1.75 0.32 0.7689363833734564
1.75 0.32 0.7688594793078015
1.75 0.32 0.7687829840759774
1.75 0.32 0.7687068966683532
1.75 0.32 0.768631216080368
1.75 0.32 0.7685559413120574
1.75 0.32 0.7684810713693981
1.75 0.32 0.7684066052628776
1.75 0.32 0.7683325420080072
1.75 0.32 0.7682588806252639
1.75 0.32 0.7681856201402546
1.75 0.32 0.768112759583608
1.75 0.32 0.7680402979904416
1.75 0.32 0.7679682344011766
1.75 0.32 0.7678965678609095
1.75 0.32 0.7678252974194366
1.75 0.32 0.7677544221316002
1.75 0.32 0.7676839410570154
1.75 0.32 0.7676138532599062
1.75 0.32 0.7675441578094018
1.75 0.32 0.7674748537790829
1.75 0.32 0.7674059402472992
1.75 0.32 0.7673374162972727
1.75 0.32 0.7672692810165787
1.75 0.32 0.7672015334974939
1.75 0.32 0.767134172836879
1.75 0.32 0.7670671981361682
1.75 0.32 0.767000608501208
1.75 0.32 0.7669344030426728
1.75 0.32 0.7668685808753558
1.75 0.32 0.7668031411187436
1.75 0.32 0.7667380828964936
1.75 0.32 0.7666734053371503
1.75 0.32 0.7666091075730718
1.75 0.32 0.7665451887415135
1.75 0.32 0.7664816479836877
1.75 0.32 0.7664184844452807
1.75 0.32 0.7663556972761962
1.75 0.32 0.7662932856308903
1.75 0.32 0.7662312486678677
1.75 0.32 0.7661695855498036
1.75 0.32 0.7661082954437235
1.75 0.32 0.7660473775206279
1.75 0.32 0.7659868309560958
1.75 0.32 0.7659266549296637
1.75 0.32 0.7658668486245594
1.75 0.32 0.7658074112289062
1.75 0.32 0.7657483419342335
1.75 0.32 0.7656896399366087
1.75 0.32 0.765631304435959
1.75 0.32 0.7655733346360527
1.75 0.32 0.7655157297450536
1.75 0.32 0.7654584889747116
1.75 0.32 0.7654016115409825
1.75 0.32 0.7653450966637259
1.75 0.32 0.7652889435665725
1.75 0.32 0.7652331514775229
1.75 0.32 0.7651777196277464
1.75 0.32 0.7651226472530145
1.75 0.32 0.765067933592327
1.75 0.32 0.7650135778891641
1.75 0.32 0.7649595793898957
1.75 0.32 0.7649059373456722
1.75 0.32 0.7648526510108394
1.75 0.32 0.7647997196434734
1.75 0.32 0.7647471425057675
1.75 0.32 0.7646949188630501
1.75 0.32 0.7646430479850455
1.75 0.32 0.764591529144744
1.75 0.32 0.7645403616186686
1.75 0.32 0.7644895446874057
1.75 0.32 0.7644390776349644
1.75 0.32 0.7643889597485719
1.75 0.32 0.7643391903199557
1.75 0.32 0.7642897686435055
1.75 0.32 0.76424069401768
1.75 0.32 0.7641919657443779
1.75 0.32 0.7641435831288617
1.75 0.32 0.7640955454801237
1.75 0.32 0.7640478521104621
1.75 0.32 0.7640005023359487
1.75 0.32 0.7639534954754795
1.75 0.32 0.7639068308522958
1.75 0.32 0.7638605077921935
1.75 0.32 0.763814525624716
1.75 0.32 0.7637688836831528
1.75 0.32 0.7637235813036287
1.75 0.32 0.763678617826034
1.75 0.32 0.7636339925931565
1.75 0.32 0.7635897049515107
1.75 0.32 0.7635457542505419
1.75 0.32 0.7635021398435754
1.75 0.32 0.7634588610867271
1.75 0.32 0.7634159173397174
1.75 0.32 0.7633733079650041
1.75 0.32 0.7633310323287636
1.75 0.32 0.7632890898002267
1.75 0.32 0.7632474797516395
1.75 0.32 0.7632062015589108
1.75 0.32 0.7631652546007178
1.75 0.32 0.763124638259117
1.75 0.32 0.7630843519191102
1.75 0.32 0.7630443949689105
1.75 0.32 0.7630047667999962
1.75 0.32 0.7629654668066838
1.75 0.32 0.7629264943865782
1.75 0.32 0.7628878489405218
1.75 0.32 0.7628495298718344
1.75 0.32 0.7628115365874333
